estado_declarante,id,institucionDependencia_nombre,institucionDependencia_siglas,particularSancionado_nombreRazonSocial,particularSancionado_objetoSocial,particularSancionado_tipoPersona,responsableSancion_nombres,responsableSancion_primerApellido,responsableSancion_segundoApellido,resolucion_sentido,resolucion_url,resolucion_fechaNotificacion,multa_moneda_clave,multa_moneda_valor,multa_monto,fechaCaptura,expediente,objetoContrato,autoridadSancionadora,tipoFalta,tipoSancion_1_clave,tipoSancion_1_valor,tipoSancion_2_clave,tipoSancion_2_valor,tipoSancion_2,tipoSancion_1,tipoSancion_1_descripcion,causaMotivoHechos,acto,inhabilitacion_plazo,inhabilitacion_fechaInicial,inhabilitacion_fechaFinal,observaciones,institucionDependencia_clave,documentos_1,documentos_1_id,documentos_1_titulo,documentos_1_tipo,documentos_1_descripcion,documentos_1_url,documentos_1_fecha,particularSancionado_domicilioMexico_pais_clave,particularSancionado_domicilioMexico_pais_valor,particularSancionado_domicilioMexico_entidadFederativa_clave,particularSancionado_domicilioMexico_entidadFederativa_valor,particularSancionado_domicilioMexico_municipio_clave,particularSancionado_domicilioMexico_municipio_valor,particularSancionado_domicilioMexico_localidad_clave,particularSancionado_domicilioMexico_localidad_valor,particularSancionado_domicilioMexico_vialidad_clave,particularSancionado_domicilioMexico_vialidad_valor,particularSancionado_domicilioMexico_codigoPostal,__v
sfp,006410016/2021,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,"A�REO CALAFIA, S.A. DE C.V.",Dato no proporcionado,Dato no proporcionado,LIC. GUSTAVO AGUIRRE LONA,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA E INHABILITACI�N,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,269328.0,2022-08-15,006410016/2021,Dato no proporcionado,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Dato no proporcionado,M,MULTA,I,INHABILITACIÓN,0.0,0.0,0,LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO LOS CONTRATOS NOS. S0M0147 Y S0M0155,Dato no proporcionado,Dato no proporcionado,2022-08-16,2023-02-16,Dato no proporcionado,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
sfp,000270050/2021,SECRETARIA DE LA FUNCI�N P�BLICA,SFP,"OFFICE EXPRES, S. DE R.L. DE C.V.",Dato no proporcionado,Dato no proporcionado,MAR�A GUADALUPE VARGAS �LVAREZ,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA E INHABILITACI�N,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,807984.0,2022-08-24,000270050/2021,Dato no proporcionado,SECRETARIA DE LA FUNCI�N P�BLICA,Dato no proporcionado,M,MULTA,I,INHABILITACIÓN,0.0,0.0,0,"LA EMPRESA OFFICE EXPRES, S. DE R.L. DE C.V., PROPORCION� INFORMACI�N FALSA EN LA LICITACI�N P�BLICA NACIONAL PRESENCIAL N�MERO 40004001-009-20.",Dato no proporcionado,Dato no proporcionado,2022-08-25,2024-02-25,Dato no proporcionado,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
sfp,091200002/2022,CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,CAPUFE,"CIA. CONSTRUCTORA Y SUPERVISORA HEOS, S.A. DE C.V.",Dato no proporcionado,Dato no proporcionado,FABIOLA BELLO DURAN,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA E INHABILITACI�N,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,136222.5,2022-08-15,091200002/2022,Dato no proporcionado,CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Dato no proporcionado,M,MULTA,I,INHABILITACIÓN,0.0,0.0,0,"PRESUNTAMENTE SE ENCUENTRA VINCULADA CON OTRO EMPRESA QUE PARTICIPO EN EL PROCEDIIENTO DE CONTRATACI�N, RESPECTO A LOS DOCUMENTOS LEGALES II.",Dato no proporcionado,Dato no proporcionado,2022-08-16,2022-11-16,"EL D�A EN QUE SE CUMPLA EL PLAZO DE INHABILITACI�N A QUE SE REFIERE EL ART�CULO 78, ANTEPEN�LTIMO P�RRAFO, DE LA LEY DE OBRAS P�BLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS, LA EMPRESA CIA. CONSTRUCTORA Y SUPERVISORA HEOS, S.A. DE C.V., NO HA PAGADO LA MULTA QUE LE FUE IMPUESTA, LA INHABILITACI�N SUBSISTIR� HASTA QUE SE REALICE EL PAGO CORRESPONDIENTE.",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
sfp,006410023/2021,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,"REPRESENTACIONES MD, S.A. DE C.V.",Dato no proporcionado,Dato no proporcionado,LIC. GUSTAVO AGUIRRE LONA,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA E INHABILITACI�N,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,499720.0,2022-08-04,006410023/2021,Dato no proporcionado,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Dato no proporcionado,M,MULTA,I,INHABILITACIÓN,0.0,0.0,0,"LA EMPRESA PROPORCION� INFORMACI�N FALSA, MANIFEST� QUE NO SE ENCONTRABA EN NINGUNO DE LOS SUPUESTOS  DE LOS ART�CULOS 50 Y 60 DE LA LAASSP. (ART. 50 FRACCI�N III)",Dato no proporcionado,Dato no proporcionado,2022-08-05,2023-08-05,Dato no proporcionado,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
sfp,006410010/2022,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,"LAFNI, S.A. DE C.V.",TRANSPORTE DE CARGA Y PASAJEROS EN LA REPUBLICA MEXICANA,Dato no proporcionado,LIC. GUSTAVO AGUIRRE LONA,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,130959.5,2022-08-03,006410010/2022,Dato no proporcionado,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Dato no proporcionado,M,MULTA,0,0,0.0,0.0,0,LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. S9M0343,Dato no proporcionado,Dato no proporcionado,-,-,Dato no proporcionado,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
sfp,006410028/2021,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,"DIAGNOCELL LABORATORIOS, S.A. DE C.V.",Dato no proporcionado,Dato no proporcionado,LIC. GUSTAVO AGUIRRE LONA,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,91671.65,2022-08-22,006410028/2021,Dato no proporcionado,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Dato no proporcionado,M,MULTA,0,0,0.0,0.0,0,LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D199018.,Dato no proporcionado,Dato no proporcionado,-,-,Dato no proporcionado,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
sfp,006380001/2022,FONDO DE LA VIVIENDA DEL ISSSTE,FOVISSSTE,SERVICIOS INMOBILIARIOS IROA S.A. DE C.V.,"PRESTAR LOS SERVICIOS DE MANTENIMIENTO, REPARACI�N, CONSERVACI�N, JARDINER�A, FUMIGACI�N, PINTURA, IMPERMEABILIZACI�N Y LIMPIEZA EN GENERAL TANTO PARA EXTERIORES E INTERIORES EN OFICINAS PUBLICAS ENTRE OTROS.",Dato no proporcionado,RIGOBERTO GALEANA  RODRIGUEZ,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,146254.5,2022-07-26,006380001/2022,Dato no proporcionado,FONDO DE LA VIVIENDA DEL ISSSTE,Dato no proporcionado,M,MULTA,0,0,0.0,0.0,0,"CON FECHA 27 DE ENERO DE 2022 SE EMITI� EL FALLO DE LA INVITACI�N IA-051-051GYN905-E2-2022, SE OTORG� FALLO FAVORABLE A LA EMPRESA SERVICIOS INMOBILIARIOS IROA S.A. DE C.V., DE ACUERDO A SU PROPOSICI�N Y TODA VEZ QUE CUMPLI� CON LOS REQUISITOS ESTABLECIDOS EN LA CONVOCATORIA Y OFERT� EL MONTO MAS BAJO, ASIMISMO EN EL CITADO FALLO EN SU APARADO �V. FECHA, LUGAR  HORA PARA LA FIRMA DEL CONTRATO�, SE SOLICIT� AL LICITANTE ADJUDICADO QUE PARA LA FORMALIZACI�N DEL CONTRATO SE PRESENTARA DENTRO DE LOS 15 D�AS NATURALES SIGUIENTES A SU EMISI�N, EN UN HORARIO DE 10:00 A 15:00 HORAS Y DE 17:00 A 18:00 HORAS EN EL DOMICILIO DE LA JEFATURA DE SERVICIOS DE RECURSOS MATERIALES Y SERVICIOS GENERALES, DE LA SUBDIRECCI�N DE ADMINISTRACI�N DEL FONDO DE LA VIVIENDA DEL ISSSTE, UBICADA EN CALLE MIGUEL NORE�A NO. 28, PISO 3 COLONIA SAN JOS� INSURGENTES, C�DIGO POSTAL 03900, ALCALD�A BENITO JU�REZ, CIUDAD DE M�XICO, CON LA DOCUMENTACI�N SOLICITADA EN LA CONVOCATORIA A LA INVITACI�N. <br> <br>DE CONFORMIDAD CON EL FALLO DE FECHA 27 DE ENERO DE 2022 Y CON FUNDAMENTO EN EL ART�CULO 46 DE LA LEY DE ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS DEL SECTOR P�BLICO LA FIRMA DEL CONTRATO DEBI� TENER VERIFICATIVO A M�S TARDARE EL D�A 11 DE FEBRERO DE 2022, SIN QUE DENTRO DE DICHO PERIODO EL REPRESENTANTE LEGAL DE LA EMPRESA SE HUBIERA PRESENTADO A FORMALIZAR EL CONTRATO.",Dato no proporcionado,Dato no proporcionado,-,-,Dato no proporcionado,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
sfp,006410011/2020,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,"CARIMED EQUIPOS, S.A. DE C.V.",Dato no proporcionado,Dato no proporcionado,LIC. GUSTAVO AGUIRRE LONA,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA E INHABILITACI�N,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,936076.0,2022-07-22,006410011/2020,Dato no proporcionado,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Dato no proporcionado,M,MULTA,I,INHABILITACIÓN,0.0,0.0,0,LA EMPRESA PROPORCION� INFORMACI�N FALSA EN  LAS PR�RROGAS DE DOS REGISTROS SANITARIOS.,Dato no proporcionado,Dato no proporcionado,2021-09-10,2023-09-10,"EL TRIBUNAL FEDERAL DE JUSTICIA ADMINISTRATIVA, SEPTIMA SALA REGIONAL METROPOLITANA, MDIANTE RESOLUCION DEL 20/06/2022 CONCEDE LA SUSPENSI�N DEFINITIVA DE LA SANCION ADMINISTRATIVA CONSISTENTE EN LA INHABILITACI�N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
sfp,006410007/2021,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,"EXORTA, S. DE R.L. DE C.V.",Dato no proporcionado,Dato no proporcionado,LIC. GUSTAVO AGUIRRE LONA,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA E INHABILITACI�N,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,1047676.0,2022-08-05,006410007/2021,Dato no proporcionado,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Dato no proporcionado,M,MULTA,I,INHABILITACIÓN,0.0,0.0,0,LA EMPRESA PROPORCION� INFORMACI�N NO VERAZ A TRAV�S DEL REGISTRO SANITARIO NO. 0864C2018 SSA,Dato no proporcionado,Dato no proporcionado,2022-04-15,2024-04-15,"CON FECHA 5 DE AGOSTO DE 2022 SE PUBLICO EN EL BOLETIN JURISDICCIONAL DEL TFJA LA ADMISION DE LA DEMANDA INTERPUESTA, EN CONTRA DE LA RESOLUCION SANCIONADORA, EN LA CUAL SE DETERMINA CONCEDER LA SUSPENSION PROVISIONAL UNICAMENTE DE LA MULTA INTERPUESTA.",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
sfp,000270046/2021,SECRETARIA DE LA FUNCI�N P�BLICA,SFP,"SINERGIA 17, S.R.L. DE C.V.",Dato no proporcionado,Dato no proporcionado,MAR�A GUADALUPE VARGAS �LVAREZ,Dato no proporcionado,Dato no proporcionado,SANCIONATORIA CON MULTA E INHABILITACI�N,Dato no proporcionado,Dato no proporcionado,MXN,Dato no proporcionado,416733.0,2022-07-19,000270046/2021,Dato no proporcionado,SECRETARIA DE LA FUNCI�N P�BLICA,Dato no proporcionado,M,MULTA,I,INHABILITACIÓN,0.0,0.0,0,PRESENTAR INFORMACI�N FALSA,Dato no proporcionado,Dato no proporcionado,2022-07-20,2023-04-20,Dato no proporcionado,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
